epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.48432,2.69607,5.2253,1.13799,0,0,0,0,2.95213,4.75439,1.31703,0,0,0
2,4.63407,2.78716,4.66431,1.22879,0,0,0,0,2.91636,4.73105,1.30362,1.63399e-05,1.63399e-05,1.63399e-05
3,6.78739,3.12552,4.80498,1.3424,0,0,0,0,2.89689,4.68349,1.29056,3.20197e-05,3.20197e-05,3.20197e-05
4,9.91378,2.73033,4.75227,1.2463,0,0,0,0,2.88233,4.60958,1.27346,4.70394e-05,4.70394e-05,4.70394e-05
5,12.1617,2.49614,4.67417,1.1835,0,0,0,0,2.86309,4.49902,1.24624,6.13989e-05,6.13989e-05,6.13989e-05
6,14.4813,2.71393,4.55869,1.10771,0.00763,0.25,0.00481,0.00096,2.91085,4.4064,1.24112,7.50984e-05,7.50984e-05,7.50984e-05
7,17.0008,2.67812,4.27816,1.24546,0.00699,0.25,0.00459,0.00138,2.94378,4.33108,1.2402,8.81376e-05,8.81376e-05,8.81376e-05
8,19.2386,2.38035,4.12079,1.18305,0.01333,0.5,0.01057,0.00244,2.87602,4.25535,1.23719,0.000100517,0.000100517,0.000100517
9,21.4447,2.18927,3.96388,1.06623,0.0184,0.75,0.01972,0.00393,2.7578,4.16665,1.21399,0.000112236,0.000112236,0.000112236
10,23.6832,2.09705,3.69244,1.06881,0.01714,0.75,0.02133,0.00485,2.66278,4.15557,1.17654,0.000123295,0.000123295,0.000123295
11,25.9666,1.98164,3.49511,0.97678,0.01613,0.75,0.0226,0.00614,2.57716,4.15333,1.13481,0.000133693,0.000133693,0.000133693
12,28.1969,2.29449,3.32465,1.08528,0.01571,0.75,0.02508,0.00677,2.65672,4.13567,1.14431,0.000143432,0.000143432,0.000143432
